testcase,Nitems,value,weight,time,optimal
00Uncorrelated\n00050\R01000\s016.kp,50,19232,10474,0.000000,True
00Uncorrelated\n00050\R10000\s016.kp,50,192182,104590,0.000000,True
00Uncorrelated\n00100\R01000\s016.kp,100,36378,24080,0.000000,True
00Uncorrelated\n00100\R10000\s016.kp,100,363530,240546,0.000000,True
00Uncorrelated\n00200\R01000\s016.kp,200,78006,48276,0.000000,True
00Uncorrelated\n00200\R10000\s016.kp,200,779759,482347,0.000000,True
00Uncorrelated\n00500\R01000\s016.kp,500,195312,125173,0.000000,True
00Uncorrelated\n00500\R10000\s016.kp,500,1952024,1250612,0.000000,True
00Uncorrelated\n01000\R01000\s016.kp,1000,398473,255665,0.000000,True
00Uncorrelated\n01000\R10000\s016.kp,1000,3982239,2554418,0.000996,True
00Uncorrelated\n02000\R01000\s016.kp,2000,814319,504245,0.000000,True
00Uncorrelated\n02000\R10000\s016.kp,2000,8138485,5038052,0.001003,True
00Uncorrelated\n05000\R01000\s016.kp,5000,2064184,1225662,0.001005,True
00Uncorrelated\n05000\R10000\s016.kp,5000,20629786,12245551,0.002990,True
00Uncorrelated\n10000\R01000\s016.kp,10000,4047923,2492615,0.004548,True
00Uncorrelated\n10000\R10000\s016.kp,10000,40455498,24904113,0.006064,True
01WeaklyCorrelated\n00050\R01000\s016.kp,50,12900,11928,0.001078,True
01WeaklyCorrelated\n00050\R10000\s016.kp,50,128854,119176,0.000000,True
01WeaklyCorrelated\n00100\R01000\s016.kp,100,24998,22466,0.000000,True
01WeaklyCorrelated\n00100\R10000\s016.kp,100,249634,224427,0.000000,True
01WeaklyCorrelated\n00200\R01000\s016.kp,200,51888,46558,0.000000,True
01WeaklyCorrelated\n00200\R10000\s016.kp,200,518217,465143,0.000000,True
01WeaklyCorrelated\n00500\R01000\s016.kp,500,131694,118266,0.001058,True
01WeaklyCorrelated\n00500\R10000\s016.kp,500,1315267,1181593,0.000000,True
01WeaklyCorrelated\n01000\R01000\s016.kp,1000,271835,243448,0.000000,True
01WeaklyCorrelated\n01000\R10000\s016.kp,1000,2714816,2432289,0.000992,True
01WeaklyCorrelated\n02000\R01000\s016.kp,2000,553379,499114,0.008999,True
01WeaklyCorrelated\n02000\R10000\s016.kp,2000,5526838,4986708,0.007317,True
01WeaklyCorrelated\n05000\R01000\s016.kp,5000,1381888,1252946,0.083811,True
01WeaklyCorrelated\n05000\R10000\s016.kp,5000,13801485,12518336,0.007004,True
01WeaklyCorrelated\n10000\R01000\s016.kp,10000,2741205,2478609,0.441090,True
01WeaklyCorrelated\n10000\R10000\s016.kp,10000,27378034,24763892,0.012283,True
02StronglyCorrelated\n00050\R01000\s016.kp,50,15429,11929,0.000000,True
02StronglyCorrelated\n00050\R10000\s016.kp,50,154182,119182,0.000000,True
02StronglyCorrelated\n00100\R01000\s016.kp,100,29666,22466,0.000000,True
02StronglyCorrelated\n00100\R10000\s016.kp,100,296428,224428,0.000000,True
02StronglyCorrelated\n00200\R01000\s016.kp,200,60759,46559,160.087576,False
02StronglyCorrelated\n00200\R10000\s016.kp,200,607155,465155,160.012739,False
02StronglyCorrelated\n00500\R01000\s016.kp,500,154166,118266,160.020838,False
02StronglyCorrelated\n00500\R10000\s016.kp,500,1540595,1181595,160.016821,False
02StronglyCorrelated\n01000\R01000\s016.kp,1000,314348,243448,160.069877,False
02StronglyCorrelated\n01000\R10000\s016.kp,1000,3139593,2430593,160.014133,False
02StronglyCorrelated\n02000\R01000\s016.kp,2000,639864,498964,160.011886,False
02StronglyCorrelated\n02000\R10000\s016.kp,2000,6392099,4983099,160.002279,False
02StronglyCorrelated\n05000\R01000\s016.kp,5000,1603990,1252590,159.945733,False
02StronglyCorrelated\n05000\R10000\s016.kp,5000,16029061,12514061,159.950682,False
02StronglyCorrelated\n10000\R01000\s016.kp,10000,3183204,2478204,159.756011,True
02StronglyCorrelated\n10000\R10000\s016.kp,10000,31808899,24757899,159.757114,True
03InverseStronglyCorrelated\n00050\R01000\s016.kp,50,12804,14404,0.000000,True
03InverseStronglyCorrelated\n00050\R10000\s016.kp,50,127931,143931,0.000984,True
03InverseStronglyCorrelated\n00100\R01000\s016.kp,100,24317,27417,78.616043,True
03InverseStronglyCorrelated\n00100\R10000\s016.kp,100,242934,273934,160.000653,False
03InverseStronglyCorrelated\n00200\R01000\s016.kp,200,50260,56460,160.093446,False
03InverseStronglyCorrelated\n00200\R10000\s016.kp,200,502167,564167,160.017032,False
03InverseStronglyCorrelated\n00500\R01000\s016.kp,500,127688,142788,160.089780,False
03InverseStronglyCorrelated\n00500\R10000\s016.kp,500,1276243,1427243,160.018535,False
03InverseStronglyCorrelated\n01000\R01000\s016.kp,1000,261704,292704,160.033904,False
03InverseStronglyCorrelated\n01000\R10000\s016.kp,1000,2615642,2925642,160.021113,False
03InverseStronglyCorrelated\n02000\R01000\s016.kp,2000,535324,598124,0.000000,True
03InverseStronglyCorrelated\n02000\R10000\s016.kp,2000,5348807,5976807,160.045429,False
03InverseStronglyCorrelated\n05000\R01000\s016.kp,5000,1342746,1500446,159.987336,False
03InverseStronglyCorrelated\n05000\R10000\s016.kp,5000,13413442,14989442,159.982930,False
03InverseStronglyCorrelated\n10000\R01000\s016.kp,10000,2659699,2973499,159.895643,True
03InverseStronglyCorrelated\n10000\R10000\s016.kp,10000,26576055,29713055,159.903626,False
04AlmostStronglyCorrelated\n00050\R01000\s016.kp,50,15416,11928,0.000000,True
04AlmostStronglyCorrelated\n00050\R10000\s016.kp,50,154059,119182,0.000000,True
04AlmostStronglyCorrelated\n00100\R01000\s016.kp,100,29661,22466,0.000000,True
04AlmostStronglyCorrelated\n00100\R10000\s016.kp,100,296373,224428,0.000000,True
04AlmostStronglyCorrelated\n00200\R01000\s016.kp,200,60769,46559,160.058294,False
04AlmostStronglyCorrelated\n00200\R10000\s016.kp,200,607171,465118,160.014999,False
04AlmostStronglyCorrelated\n00500\R01000\s016.kp,500,154177,118266,2.425919,True
04AlmostStronglyCorrelated\n00500\R10000\s016.kp,500,1540743,1181594,160.001878,False
04AlmostStronglyCorrelated\n01000\R01000\s016.kp,1000,314437,243449,160.006495,False
04AlmostStronglyCorrelated\n01000\R10000\s016.kp,1000,3141476,2431767,160.009850,False
04AlmostStronglyCorrelated\n02000\R01000\s016.kp,2000,640048,499114,160.045292,False
04AlmostStronglyCorrelated\n02000\R10000\s016.kp,2000,6393968,4984562,160.004087,False
04AlmostStronglyCorrelated\n05000\R01000\s016.kp,5000,1604129,1252610,159.949310,False
04AlmostStronglyCorrelated\n05000\R10000\s016.kp,5000,16032360,12516574,159.954023,False
04AlmostStronglyCorrelated\n10000\R01000\s016.kp,10000,3183785,2478609,159.756040,True
04AlmostStronglyCorrelated\n10000\R10000\s016.kp,10000,31813728,24761320,159.762659,True
05SubsetSum\n00050\R01000\s016.kp,50,11929,11929,0.000000,True
05SubsetSum\n00050\R10000\s016.kp,50,119182,119182,0.000000,True
05SubsetSum\n00100\R01000\s016.kp,100,22466,22466,0.000000,True
05SubsetSum\n00100\R10000\s016.kp,100,224429,224429,0.000000,True
05SubsetSum\n00200\R01000\s016.kp,200,46559,46559,0.000000,True
05SubsetSum\n00200\R10000\s016.kp,200,465157,465157,0.003211,True
05SubsetSum\n00500\R01000\s016.kp,500,118266,118266,0.000000,True
05SubsetSum\n00500\R10000\s016.kp,500,1181595,1181595,0.002999,True
05SubsetSum\n01000\R01000\s016.kp,1000,243449,243449,0.000000,True
05SubsetSum\n01000\R10000\s016.kp,1000,2432289,2432289,0.002000,True
05SubsetSum\n02000\R01000\s016.kp,2000,499114,499114,0.000998,True
05SubsetSum\n02000\R10000\s016.kp,2000,4986708,4986708,0.000000,True
05SubsetSum\n05000\R01000\s016.kp,5000,1252946,1252946,0.002050,True
05SubsetSum\n05000\R10000\s016.kp,5000,12518337,12518337,0.009286,True
05SubsetSum\n10000\R01000\s016.kp,10000,2478609,2478609,0.002632,True
05SubsetSum\n10000\R10000\s016.kp,10000,24763893,24763893,0.004300,True
06UncorrelatedWithSimilarWeights\n00050\R01000\s016.kp,50,17384,2401073,0.016876,True
06UncorrelatedWithSimilarWeights\n00050\R10000\s016.kp,50,17384,2401073,0.015595,True
06UncorrelatedWithSimilarWeights\n00100\R01000\s016.kp,100,34448,4902554,0.103662,True
06UncorrelatedWithSimilarWeights\n00100\R10000\s016.kp,100,34448,4902554,0.101830,True
06UncorrelatedWithSimilarWeights\n00200\R01000\s016.kp,200,71538,9904917,0.000000,True
06UncorrelatedWithSimilarWeights\n00200\R10000\s016.kp,200,71538,9904917,0.000000,True
06UncorrelatedWithSimilarWeights\n00500\R01000\s016.kp,500,182355,24712578,160.024057,False
06UncorrelatedWithSimilarWeights\n00500\R10000\s016.kp,500,182355,24712578,160.019047,False
06UncorrelatedWithSimilarWeights\n01000\R01000\s016.kp,1000,370842,49525893,0.071626,True
06UncorrelatedWithSimilarWeights\n01000\R10000\s016.kp,1000,370842,49525893,0.065800,True
06UncorrelatedWithSimilarWeights\n02000\R01000\s016.kp,2000,753943,99050939,160.045185,False
06UncorrelatedWithSimilarWeights\n02000\R10000\s016.kp,2000,753943,99050939,160.023556,False
06UncorrelatedWithSimilarWeights\n05000\R01000\s016.kp,5000,1885243,247620341,159.966260,False
06UncorrelatedWithSimilarWeights\n05000\R10000\s016.kp,5000,1885243,247620341,159.972214,False
06UncorrelatedWithSimilarWeights\n10000\R01000\s016.kp,10000,3741911,495249101,159.829281,True
06UncorrelatedWithSimilarWeights\n10000\R10000\s016.kp,10000,3741911,495249101,159.832377,True
07SpannerUncorrelated\n00050\R01000\s016.kp,50,5028,4764,0.426180,True
07SpannerUncorrelated\n00050\R10000\s016.kp,50,51352,48775,0.079125,True
07SpannerUncorrelated\n00100\R01000\s016.kp,100,10922,10160,0.249830,True
07SpannerUncorrelated\n00100\R10000\s016.kp,100,111180,103530,0.894044,True
